movie_id;language_iso;language_name
109835;3697;తెలుగు
109841;3241;English
109843;3241;English
109881;3241;English
109912;3241;English
109991;3651;Pусский
11;3241;English
110;3276;Français
110001;3248;euskera
110001;3246;Español
110130;3241;English
110227;3241;English
1103;3241;English
110372;3241;English
110372;3241;English
110390;3241;English
110390;3683;svenska
110412;3241;English
110415;3241;English
110415;3276;Français
110415;3383;日本語
110415;3428;한국어/조선말
110419;3241;English
110447;3276;Français
110447;3371;Italiano
110457;3241;English
110457;3241;English
110491;3241;English
110501;3679;Srpski
110548;3241;English
110553;3241;English
110568;3241;English
110588;3241;English
110603;3241;English
110643;3241;English
110669;3241;English
110748;3383;日本語
110779;3241;English
110790;3241;English
110899;3383;日本語
111;3241;English
111;3246;Español
111031;3241;English
111042;3241;English
111100;3241;English
111109;3704;
111170;3241;English
111237;3651;Pусский
111310;3241;English
111312;3241;English
111332;3241;English
1114;3489;
111443;3246;Español
111460;3241;English
1115;3276;Français
1115;3201;Deutsch
111570;3241;English
1116;3241;English
1116;3290;Gaeilge
1116;3445;Latin
111642;3241;English
111718;3383;日本語
111732;3241;English
111752;3241;English
111815;3241;English
111854;3241;English
111913;3383;日本語
112;3197;Dansk
112072;3267;suomi
112083;3241;English
112087;3241;English
112283;3428;한국어/조선말
112293;3197;Dansk
1123;3109;Afrikaans
1123;3241;English
1123;3899;isiZulu
1124;3241;English
112454;3241;English
112460;3241;English
112460;3246;Español
112481;3241;English
1125;3241;English
112582;3241;English
1126;3241;English
112601;3371;Italiano
112655;3241;English
112672;3241;English
112674;3241;English
1127;3246;Español
112705;3241;English
112731;3241;English
112767;3241;English
112931;3276;Français
112961;3241;English
112999;3148;বাংলা
113;3428;한국어/조선말
113105;3371;Italiano
113190;3241;English
113209;3241;English
113214;3241;English
113300;3241;English
113432;3370;Íslenska
113638;3241;English
113739;3241;English
113743;3241;English
113757;3241;English
113947;3241;English
114;3241;English
114;3371;Italiano
114;3383;日本語
114003;3241;English
114033;3241;English
114046;3241;English
114060;3201;Deutsch
114060;3241;English
114146;3840;No Language
114172;3267;suomi
114184;3276;Français
114242;3201;Deutsch
114246;3246;Español
114333;3246;Español
114371;3383;日本語
114394;3241;English
114464;3886;普通话
114503;3241;English
114514;3241;English
114577;3241;English
114638;3241;English
114838;3241;English
114888;3241;English
114922;3246;Español
114931;3201;Deutsch
114958;3241;English
115;3241;English
115;3325;עִבְרִית
115;3246;Español
115;3201;Deutsch
115023;3201;Deutsch
115042;3246;Español
115109;3241;English
115111;3241;English
115162;3276;Français
115162;3276;Français
115210;3241;English
115283;3241;English
115348;3241;English
115353;3371;Italiano
115373;3201;Deutsch
115531;3241;English
115565;3241;English
115711;3246;Español
115821;3276;Français
115834;3241;English
115871;3651;Pусский
115873;3741;اردو
115873;3329;हिन्दी
115877;3246;Español
115893;3840;No Language
115903;3246;Español
115909;3246;Español
115929;3518;Nederlands
115929;3201;Deutsch
116;3241;English
116008;3241;English
116014;3241;English
116155;3241;English
116167;3241;English
116185;3693;தமிழ்
116185;3697;తెలుగు
1162;3241;English
116227;3428;한국어/조선말
116231;3276;Français
1163;3241;English
116323;3428;한국어/조선말
116345;3241;English
116463;3241;English
116495;3241;English
116495;3276;Français
116495;3383;日本語
1165;3201;Deutsch
1165;3241;English
1165;3276;Français
116746;3241;English
116760;3241;English
116811;3241;English
116811;3371;Italiano
116853;3276;Français
116973;3241;English
116977;3241;English
116979;3241;English
117;3241;English
117340;3241;English
117428;3241;English
117452;3518;Nederlands
117464;3201;Deutsch
117464;3371;Italiano
117472;3383;日本語
117478;3371;Italiano
117506;3179;广州话 / 廣州話
117531;3241;English
117553;3241;English
117565;3241;English
117592;3276;Français
117618;3241;English
117678;3276;Français
117869;3246;Español
117913;3371;Italiano
117924;3241;English
118;3241;English
118013;3241;English
118195;3246;Español
118204;3246;Español
118236;3241;English
118236;3246;Español
118236;3241;English
118236;3246;Español
118340;3241;English
118390;3201;Deutsch
118390;3371;Italiano
118446;3241;English
118536;3241;English
118690;3241;English
118758;3246;Español
118762;3383;日本語
118778;3276;Français
118792;3651;Pусский
118872;3241;English
118876;3371;Italiano
118900;3241;English
118910;3241;English
118936;3241;English
118946;3197;Dansk
118946;3276;Français
118948;3241;English
119450;3241;English
119569;3241;English
119593;3241;English
119637;3276;Français
119675;3241;English
119685;3241;English
119685;3383;日本語
119687;3241;English
119820;3201;Deutsch
119907;3241;English
12;3241;English
120;3241;English
120122;3371;Italiano
120268;3276;Français
120268;3201;Deutsch
120268;3651;Pусский
120280;3267;suomi
120292;3241;English
120478;3241;English
120588;3241;English
120771;3241;English
120835;3241;English
120837;3241;English
120843;3241;English
120885;3241;English
120932;3241;English
120942;3329;हिन्दी
121;3241;English
121003;3241;English
121015;3241;English
121111;3241;English
121113;3241;English
121173;3704;
121245;3241;English
1213;3241;English
1213;3371;Italiano
121342;3371;Italiano
121354;3241;English
121455;3580;Polski
121491;3428;한국어/조선말
121598;3241;English
121598;3329;हिन्दी
121598;3741;اردو
121707;3241;English
