movie_id;collection_id;collection_name;poster_path;backdrop_path
2503;31562;The Bourne Collection;/lTfOZ25PhQkmGb5NHmaFnwB7b13.jpg;/vA5xMglyZv7yzDTj1qUTU4OvelV.jpg
253;645;James Bond Collection;/HORpg5CSkmeQlAolx3bKMrKgfi.jpg;/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg
25741;141615;Niko - Coleccion;/z4pHMEQlUBqwuYEjlkozzsZ8EyC.jpg;/vBxogSO7WrbRfLJg9V1YkXRrxCR.jpg
25745;251383;The Gamers Collection;/6fddPG42kCQ7GVFuKZbT0RCGB7V.jpg;/ub73vqZ3O4NmkViOcLapTWef882.jpg
25778;25542;An American Girl Collection;/5JpcRXXuFSgYUgtSKvcdQE9LaMS.jpg;/1jt2T8oHR1NlzXr7TmSp0Ly9m9D.jpg
25786;25542;An American Girl Collection;/5JpcRXXuFSgYUgtSKvcdQE9LaMS.jpg;/1jt2T8oHR1NlzXr7TmSp0Ly9m9D.jpg
25843;201689;Karas The Collection;/g8jDUW4hiuwZTmRlJ2a6GYzYUSt.jpg;/vi79DZQm7FBNMTImNN0o0OjntH4.jpg
25913;117693;Balto Collection;/w0ZgH6Lgxt2bQYnf1ss74UvYftm.jpg;/9VM5LiJV0bGb1st1KyHA3cVnO2G.jpg
25936;122776;Kvartet I Collection;/rleIVHx2kG8lYfHUsBh3CkD4Jnc.jpg;/c7SHTYbGPb3DzO484z0aYFx5u0q.jpg
25961;34055;Pokémon Collection;/j5te0YNZAMXDBnsqTUDKIBEt8iu.jpg;/iGoYKA0TFfgSoZpG2u5viTJMGfK.jpg
26042;87536;Warlock Collection;/wkwtv5NMpBfo1eGjZpNJEQ2cZH0.jpg;/im5iJHo8UwswhKHlcADqUO3sZtA.jpg
26044;170754;Arthur Collection;/bdRCMpvyTX1zPR28GHcFjjA3LHt.jpg;/c0XFWONQ39hfOCJIg3FUuRoGgH0.jpg
2605;86347;Short Circuit Collection;/AZFGrT6LotCm69uNgVnTkUYBGh.jpg;/o3C0qlKyg7Haot9ZVqtRtsrKwWc.jpg
2619;248126;Splash Collection;/tI0RB8ezHm7NMRuLfWIh4mWuGXY.jpg;/9uSHQAAUYFt6WSL2sz9zgvnXnvk.jpg
26235;251383;The Gamers Collection;/6fddPG42kCQ7GVFuKZbT0RCGB7V.jpg;/ub73vqZ3O4NmkViOcLapTWef882.jpg
26263;14377;Death Wish Collection;/3mC5lppASzZHx5IlmFSL6cPQpCP.jpg;/m3K7AXN8Wi6VIRtVlpF1E6nzEn1.jpg
26285;41658;Fantozzi Collection;/m5pURXwh5fVdOG1vXvbKdJeW2hn.jpg;/h2L6fnTYieCrNscxbtjGG31lBRm.jpg
26340;126166;The Delta Force Collection;/xt10SGPh35qrXrpWikFlVNRNZ7i.jpg;/coqZkrXTcqtDBcaQRpCGwcGsh6Y.jpg
26386;330555;Ernest Collection;/m8CTuM76DbvFvpCHBepso5Bu7nw.jpg;/vTlcbHNWrAf77AZFDZ9yCjHm8ag.jpg
26398;211753;Caprona Collection;/ltMYLLICwtORAdnXKGex213amhJ.jpg;/rmvHqa6mkZZsAJuaeU1R1Q7hKG9.jpg
2648;2643;Aces Go Places Collection;/63vfOuKjRtGngcddEoZHzpqmKRK.jpg;/d7DAqeTxESYrBQrZwAD4gx5K8yT.jpg
26480;123724;Dracula (Hammer Series);/n5SozLvdQZ7cYJb22ZIwNw1DzSg.jpg;/hybYYwBqaomfePU3uaiJfpg7ykC.jpg
26539;363015;Frosty the Snowman Collection;/p4W9r7FaSs21P9I6PRjrl6qXrXY.jpg;/9C08pJcp2gBlHrjb8ArYNG18xX4.jpg
2665;91663;Airplane Collection;/u8IXYbpoRcKMlnhUvND0NB8HsAM.jpg;/w7bNIqVMZaaWf1LnMIZ1HywXbP8.jpg
2667;64750;Blair Witch Collection;/qDQuKJZYLHrs1Ej64tYYFooFxc1.jpg;/e5GwLq0zBer3SuSJZodcNROnT6Z.jpg
26693;1972;Ju-on Collection;/zL5ycG7koIH4f8J5ueevz8xaGif.jpg;/l3wedBkwOFc4nZpusp6fnUvJdeh.jpg
2671;93369;Ringu Collection;/eQX9SK5WPdsKWRGLfga4w9KuskV.jpg;/aS42DTtR6UYNLfKdKJBKYL1OS1U.jpg
26743;100415;Thumbs! Collection;/bePfCJRbxUYU37L4ovpQ80dVVZM.jpg;/94mtvEkxIXYFLcJwFATbx0cbAFs.jpg
26769;376970;Cocaine Cowboys;/ysCY4Q91US7zEr78raJBc27KPxF.jpg;/3vT6FzqHeT7onqUAMjKk7FqARRD.jpg
268;120794;Batman Collection;/adQxUvQW8HXNsvMG5aj71pHh9T.jpg;/9SpZvXLZDGGtFqVDByGqSGI64Kw.jpg
26809;93788;Prep & Landing Collection;/zRTaRvG5JZW2ysuGxYRH37WSLHK.jpg;/kmsH4aq0lwgryQBoCfXZzyp6z4O.jpg
26945;141252;Cardcaptor Sakura Collection;/9A70mDbkWR6GGqik79D5tcqxvq.jpg;/ltwKqELc08gO4EU6umCXEoYdFjJ.jpg
26947;161766;Gamera Films;/oqZJgOoXjUcS9alAkzYzq9sCIfG.jpg;/8vNDD5NXSHhMEVJO4ItELGkZPNp.jpg
