movie_id;company_id;company_name
105254;7445;Cinematograph AB
105299;14185;Canadian Film Centre (CFC)
105299;64572;Step-Films Inc.
105299;64574;Feature Film Project, The
105304;6844;Thelma Films
105325;2;Walt Disney Pictures
105325;6125;Walt Disney Animation Studios
105347;13932;Luiz Carlos Barreto Produções Cinematográficas
105347;76566;Regina Filmes
105347;93188;Condor Filmes
105404;60;United Artists
105406;5;Columbia Pictures
105406;35990;Ansark-Sidney
105470;10640;Shochiku Ofuna
105506;2320;UTV Motion Pictures
105509;1679;Lux Film
105509;68461;Ora Film
105526;39061;PFM Pictures
105531;17837;RCR Media Group
105763;23647;La Sept Cinéma
105763;40668;Studio Adam&Eve
105763;40669;Les Films du Rivage
1058;41;Orion Pictures
1058;651;Breathless Associates
1058;652;Miko Productions
105829;33314;Studio Kino
105833;9181;Art Theatre Guild
105833;13246;Gendai Eigasha
105869;1971;Action International Pictures
1059;882;Toho Company
105906;1701;Dania Film
105945;22036;185 Trax
105945;22037;7th Sense Films
105978;1274;Clinica Estetico
105980;1422;Killer Films
105980;11351;Hart-Sharp Entertainment
106;306;Twentieth Century Fox Film Corporation
106;840;Lawrence Gordon Productions
106;1302;Davis Entertainment
106;1885;Silver Pictures
106;5263;Amercent Films
106;5264;American Entertainment Partners L.P.
106017;8411;Metro-Goldwyn-Mayer (MGM)
106017;14275;Raymond Productions
106113;6;RKO Radio Pictures
106134;5247;Possible Films
106136;66209;eleven-55 Films
106230;9281;Tai Entertainment
106254;6507;Mezhrabpom-Rus
106326;4;Paramount Pictures
106326;494;AVCO Embassy Pictures
106344;8403;Bandito Brothers
106355;1432;Republic Pictures
106417;882;Toho Company
106417;4330;Horipro
106417;6755;Nippon Television Network Corporation (NTV)
106417;6999;Kodansha
106495;6194;Warner Bros.
106495;6194;Warner Bros.
106515;306;Twentieth Century Fox Film Corporation
106538;859;Saga Film
106538;2208;RTL-TVi
106599;14901;Anker Productions Inc.
106646;4;Paramount Pictures
106646;562;Appian Way
106646;14654;EMJAG Productions
106646;19177;Red Granite Pictures
106646;23243;Sikelia Productions
106682;17102;Peter Walker (Heritage) Ltd.
106729;18066;Utopia
106747;10427;Open Road Films
106747;10808;Overnight Films
106747;11005;AR Films
106747;11006;Aldamisa Entertainment
106747;13241;Demarest Films
106747;14358;1821 Pictures
106747;25608;Quick Draw Productions
106824;4395;Monogram Pictures
106887;75567;Amaru Films
106922;73;Fida cinematografica
106970;12767;PAC
106970;17619;Atlas Film
107;441;Columbia Pictures Corporation
107;3287;Screen Gems
107;13419;SKA Films
107028;15980;Incorporated Television Company (ITC)
107028;16710;Lord Grade
107028;92312;Jack Wiener Production
107096;7954;Filmwerks
107096;21437;Imperial Entertainment
107246;60;United Artists
107248;5798;Shaw Brothers
1073;126;Lakeshore Entertainment
1073;3287;Screen Gems
1073;22512;Arlington Road Productions Corporation
1073;22513;Gorai / Samuelson Productions
1073;22514;Samuelson Productions
107406;12727;G.R.P. Cinematografica
107406;70305;Cinestampa Internazionale
107430;1138;Filmways Pictures
107430;17069;Larco Productions
107499;16934;View Askew Productions
1075;105;Ciby 2000
107569;8411;Metro-Goldwyn-Mayer (MGM)
107625;306;Twentieth Century Fox Film Corporation
107643;955;Nikkatsu
107743;5993;Curb Entertainment
107743;22290;Bergman Lustig Productions
107846;491;Summit Entertainment
107846;2995;Atmosphere Entertainment MM
107846;10405;Emmett/Furla Films
107846;11761;Mark Canton Productions
107846;31832;Envision Entertainment
107846;36212;Boies / Schiller Film Group
107846;46961;Knightsbridge Entertainment
107916;3137;Jaleo Films
107916;24017;Andy Joke
107916;24018;Paloma Juanes
107966;4395;Monogram Pictures
107976;2073;Kadokawa Pictures
107976;7036;CJ Entertainment
107978;6417;Film i Väst
107999;8411;Metro-Goldwyn-Mayer (MGM)
108;591;France 3 Cinéma
108;1610;CED Productions
108003;7576;Eon Productions
108003;10761;Danjaq
108010;4395;Monogram Pictures
108048;875;Films A2
108048;37246;Films de la Demoiselle
108048;37249;La Fabrique
108063;168;Jadran Film
108200;441;Columbia Pictures Corporation
108209;14925;Howard Productions
108209;28205;Samuel Goldwyn Company, The
108220;4;Paramount Pictures
108267;10593;Wrather Productions
108512;5070;Shôchiku Eiga
108512;9182;Sozosha
108564;800;Wheel Productions
108639;2852;CCCP
108639;7850;Sciapode
108639;11687;Le Fresnoy Studio National des Arts Contemporains
108639;22484;Ultima Vez
1088;654;South Pacific Pictures
108852;8411;Metro-Goldwyn-Mayer (MGM)
1089;25;20th Century Fox
1089;1644;Largo Entertainment
1089;4248;JVC Entertainment Networks
108930;3848;Chimichanga Productions
108930;21201;Music Link Productions
108930;21235;MacDonald-Murray Productions
108949;69395;Cinemanila
109;183;Le Studio Canal+
109;591;France 3 Cinéma
109;850;Eurimages
1090;5;Columbia Pictures
1090;620;Centropolis Film Productions
109008;8411;Metro-Goldwyn-Mayer (MGM)
109074;75620;JTP Productions
109074;75621;13th Dimensional Video
1091;33;Universal Pictures
1091;662;Turman-Foster Company
109102;18582;Bert I. Gordon Productions
109161;559;TriStar Pictures
1092;659;London Film Productions
1092;660;British Lion Film Corporation
1092;10932;The Criterion Collection
109235;28205;Samuel Goldwyn Company, The
109235;34317;Trinity Productions
109251;33;Universal Pictures
1093;661;Nouvelles Éditions de Film
109323;3166;Walt Disney Productions
